UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"Arizona State University, Tempe","Arizona, usa",5.5/10 , IELTS 6.5 , M.Sc Computer Engineer...$25.2K/Yr
"University of Exeter, Exeter","England, uk",5.5/10 ,-*-, M.S Supply Chain Manag...$31.6K/Yr
"Utrecht University, Utrecht","Utrecht, netherlands",5.5/10 ,-*-, M.S Artificial Intelli...$21.2K/Yr
"University of Muenster, Munster","North Rhine-Westphalia, germany",5.5/10 ,-*-, M.Sc Human Geography -...$658/Yr
"University of California, Irvine","California, usa",5.5/10 , TOEFL 80 , M.S Computer Science$26.5K/Yr
"Technical University Dresden, Dresden","Saxony, germany",5.5/10 , TOEFL 79 , M.Sc Advanced Computat...$1.1K/Yr
"University of Western Australia, Perth","Western Australia, australia",5.5/10 , IELTS 6.5 , Master of Clinical Aud...$37.5K/Yr
"University of Hamburg, Hamburg","Hamburg, germany",5.5/10 , TOEFL 92 , M.Sc Business Manageme...--
"University of Cincinnati, Cincinnati","Ohio, usa",5.5/10 , TOEFL 80 , M.Sc Computer Science$14.5K/Yr
"McMaster University, Hamilton","Ontario, canada",5.5/10 , GRE 309 | TOEFL 92 , M.Sc Computer Science$8.5K/Yr
"The Hong Kong Polytechnic University, Hung Hom","Hong Kong, hong-kong",5.5/10 ,-*-, M.S Information System...--
"University of Virginia, Charlottesville","Virginia, usa",5.5/10 , GMAT 706 | TOEFL 106 , M.B.A$68.8K/Yr
"Lancaster University, Lancaster","England, uk",5.5/10 ,-*-, M.B.A Business Adminis...$38.5K/Yr
"University of Miami, Coral Gables","Florida, usa",5.5/10 , GRE 300 | TOEFL 80 , M.Sc Computer Science$63K/Yr
"Ulm University, Ulm","Baden-Wurttemberg, germany",5.5/10 , IELTS 7 , M.Sc Electrical Engine...$3.3K/Yr
"Georgetown University, Washington","District of Columbia, usa",5.5/10 , GMAT 693 | IELTS 7 , Master Human Resources...$47.6K/Yr
"Newcastle University, Newcastle upon Tyne","England, uk",5.5/10 ,-*-, M.S Advanced Computer ...--
"University of Calgary, Calgary","Alberta, canada",5.4/10 , GMAT 600 | IELTS 7 , M.B.A$19.9K/Yr
"University of Illinois, Chicago","Illinois, usa",5.4/10 , IELTS 6.5 , M.Sc Business Analytic...$24.1K/Yr
"Chalmers University of Technology, Gothenburg","Bohuslan, sweden",5.4/10 ,-*-, M.S Data Science$15.4K/Yr
"Indiana University, Bloomington","Indiana, usa",5.4/10 , GMAT 666 | TOEFL 100 , M.B.A$51.5K/Yr
"University of Aberdeen, Aberdeen","Scotland, uk",5.4/10 ,-*-, M.Sc Oil and Gas Enter...$24.7K/Yr
"University of Twente, Enschede","Overijssel, netherlands",5.4/10 ,-*-, M.S Computer Science$16.2K/Yr
"University of Utah, Salt Lake City","Utah, usa",5.4/10 , GRE 309 | TOEFL 80 , M.Sc Computer Science$14.4K/Yr
"University of Waterloo, Waterloo","Ontario, canada",5.3/10 , TOEFL 100 , Master Data Science an...$30K/Yr
"Rutgers University - New Jersey, New Brunswick","New Jersey, usa",5.3/10 , IELTS 6.5 , Doctor of Pharmacy [Ph...$48.1K/Yr
"University of Arizona, Tucson","Arizona, usa",5.3/10 , TOEFL 79 , M.Sc Electrical and Co...$22.4K/Yr
"University College Dublin, Belfield","Dublin, ireland",5.3/10 ,-*-, M.A Mechanical Enginee...$28.2K/Yr
"University of Otago, Dunedin","South Island, new-zealand",5.3/10 , TOEFL 95 , M.Bus Data Science$19.3K/Yr
"University of Erlangen-Nuremberg, Erlangen","Bavaria, germany",5.2/10 , TOEFL 95 , M.Sc Computational Eng...--
"University of Leicester, Leicester","England, uk",5.2/10 ,-*-, M.S Advanced Mechanica...$25.2K/Yr
"Swedish University of Agricultural Sciences, Uppsala","Uppland, sweden",5.2/10 ,-*-, M.A Agricultural Econo...$10.1K/Yr
"University of Iowa, Iowa City","Iowa, usa",5.2/10 , TOEFL 81 , M.Sc Business Analytic...$30.5K/Yr
"Uppsala University, Uppsala","Uppland, sweden",5.2/10 ,-*-, L.L.M Intellectual Pro...$11K/Yr
"University of Gothenburg, Gothenburg","Bohuslan, sweden",5.2/10 ,-*-, M.S Applied Data Scien...$15.3K/Yr
"University of Colorado, Denver","Colorado, usa",5.2/10 ,-*-, M.Sc Computer Science$31.6K/Yr
"University of Texas - Rio Grande Valley, Edinburg","Texas, usa",5.2/10 ,-*-, M.S Engineering Manage...$15.9K/Yr
"North Carolina State University, Raleigh","North Carolina, usa",5.2/10 , GRE 318 | TOEFL 80 , M.Sc Computer Science$51.2K/Yr
"University of Reading, Berkshire","England, uk",5.2/10 ,-*-, M.S International Busi...$27.7K/Yr
"Trinity College Dublin, Dublin","Dublin, ireland",5.2/10 ,-*-, M.S Mechanical Enginee...$25.8K/Yr
"Cardiff University, Cardiff","Wales, uk",5.2/10 , IELTS 7 , M.B.A$37.6K/Yr
"Paderborn University, Paderborn","North Rhine-Westphalia, germany",5.2/10 , IELTS 6.0 , M.Sc Business Administ...--
"University of Malaya, Kuala Lumpur","Kuala Lumpur, malaysia",5.2/10 ,-*-, M.A Computer Science (...$2.9K/Yr
"University of Duisburg-Essen, Duisburg","North Rhine-Westphalia, germany",5.2/10 ,-*-, M.Sc Automation and Co...--
"Worcester Polytechnic Institute, Worcester","Massachusetts, usa",5.2/10 , GMAT 500 | TOEFL 84 , M.B.A$37.6K/Yr
"University of Hawaii at Manoa, Honolulu","Hawaii, usa",5.1/10 ,-*-, M.B.A$38.4K/Yr
"University of Ontario Institute of Technology, Oshawa","Ontario, canada",5.1/10 , IELTS 6.5 , Master Engineering Man...$17.1K/Yr
"Stockholm University, Stockholm","Uppland, sweden",5.1/10 ,-*-," M.A Management, Organi...$10.4K/Yr"
"University of Texas Dallas, Richardson","Texas, usa",5.1/10 , IELTS 6.5 , M.S Computer Science$62.1K/Yr
"Stony Brook University, Stony Brook","New York, usa",5.1/10 , IELTS 6.0 , M.Sc Computer Engineer...$28.9K/Yr
"University of Nebraska, Lincoln","Nebraska, usa",5.1/10 ,-*-, M.A Modern Languages a...$34.6K/Yr
"University of South Florida, Tampa","Florida, usa",5.1/10 , IELTS 6.5 , M.B.A Analytics And Bu...$27.4K/Yr
