UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"Wentworth Institute of Technology, Boston","Massachusetts, usa",N/A,-*-, M.Eng Civil Engineerin...$34K/Yr
"New England Law | Boston, Boston","Massachusetts, usa",N/A,Estd. Year, L.L.M American Law$49.4K/Yr
"New England Conservatory of Music, Boston","Massachusetts, usa",N/A,Estd. Year, M.A Brass$47.9K/Yr
"Bay State College, Boston","Massachusetts, usa",N/A,Estd. Year, B.Sc Information Techn...$27.1K/Yr
"Benjamin Franklin Institute of Technology, Boston","Massachusetts, usa",N/A,Estd. Year, B.Sc Health Informatio...$18.2K/Yr
"Naropa University, Boulder","Colorado, usa",N/A,Estd. Year, M.A Resilient Leadersh...$22.6K/Yr
"Massachusetts Maritime Academy, Buzzards Bay","Massachusetts, usa",N/A,-*-, M.S Emergency Manageme...$25.7K/Yr
"Bowie State University, Bowie","Maryland, usa",N/A,Estd. Year, M.S Computer Science$19.6K/Yr
"SIT Graduate Institute, Brattleboro","Vermont, usa",N/A,Estd. Year, M.A Teaching English t...$13.4K/Yr
"University of Bridgeport, Bridgeport","Connecticut, usa",N/A,Estd. Year, M.S Computer Engineeri...$28.2K/Yr
"Bridgewater State University, Bridgewater","Massachusetts, usa",N/A,Estd. Year, M.B.A$7K/Yr
"Bridgewater College, Bridgewater","Virginia, usa",N/A,Estd. Year, M.S Athletic Training$23K/Yr
"Roger Williams University, Bristol","Rhode Island, usa",N/A,-*-, M.S Cybersecurity$18.2K/Yr
"The College at Brockport, Brockport","New York, usa",N/A,Estd. Year, M.S Mental Health Coun...$22.2K/Yr
"Monroe College, Bronx","New York, usa",N/A,Estd. Year, M.S Hospitality Manage...$14.3K/Yr
"Sarah Lawrence College, Bronxville","New York, usa",N/A,-*-, M.S Human Genetics$37.3K/Yr
"Boston Graduate School of Psychoanalysis, Brookline","Massachusetts, usa",N/A,Estd. Year, M.A Mental Health Coun...$23.1K/Yr
"Hellenic College Holy Cross, Brookline","Massachusetts, usa",N/A,Estd. Year, M.A Theological Studie...$21.9K/Yr
"Pratt Institute, Brooklyn","New York, usa",N/A,-*-, M.S Data Analytics and...$25.7K/Yr
"Brooklyn Law School, Brooklyn","New York, usa",N/A,Estd. Year, L.L.M Internationally ...$59.8K/Yr
"New York City College of Technology, Brooklyn","New York, usa",N/A,-*-, B.Tech Computer Engine...$18K/Yr
"Long Island University, Brooklyn","New York, usa",N/A, TOEFL 79 , M.Sc Exercise Science$37.5K/Yr
"Long Island University Post, Greenvale","New York, usa",N/A, TOEFL 79 , M.Sc Criminal Justice$39K/Yr
"Bowdoin College, Brunswick","Maine, usa",N/A,-*-, B.A Latin American Stu...$53.4K/Yr
"Southern Virginia University, Buena Vista","Virginia, usa",N/A,Estd. Year, B.B.A$16.5K/Yr
"Canisius College, Buffalo","New York, usa",N/A,-*-, M.A Differentiated Ins...$24.6K/Yr
"Niagara University, Niagara University","New York, usa",N/A,Estd. Year, M.B.A Human Resource M...$16.5K/Yr
"D'Youville College, Buffalo","New York, usa",N/A,Estd. Year, M.S International Busi...$28.8K/Yr
"Campbell University, Buies Creek","North Carolina, usa",N/A,Estd. Year, M.S Industrial Pharmac...$14.1K/Yr
"New York Film Academy, Burbank","California, usa",N/A,Estd. Year, B.F.A Film Studies$28K/Yr
"Champlain College, Burlington","Vermont, usa",N/A,Estd. Year, M.A Emergent Media (MF...$32.5K/Yr
"Slippery Rock University, Slippery Rock","Pennsylvania, usa",N/A,Estd. Year, M.S Athletic Training$16.5K/Yr
"Montana Tech, Butte","Montana, usa",N/A,-*-, M.S Project Engineerin...$25K/Yr
"California University of Pennsylvania, California","Pennsylvania, usa",N/A,Estd. Year, M.S Performance Enhanc...$23.2K/Yr
"California State University - Channel Islands, Camarillo","California, usa",N/A,Estd. Year, M.B.A$8.2K/Yr
"Hult International Business School, Cambridge","Massachusetts, usa",N/A,-*-, Master Disruptive Inno...$49.5K/Yr
"University of Maryland Center for Environmental Science, Cambridge","Maryland, usa",N/A,-*-, M.S Environmental Scie...$39K/Yr
"Lesley University, Cambridge","Massachusetts, usa",N/A,-*-, M.A Clinical Mental He...$34.8K/Yr
"Longy School of Music, Cambridge","Massachusetts, usa",N/A,Estd. Year, M.A Teaching$41.8K/Yr
"St. Lawrence University, Canton","New York, usa",N/A,-*-, B.Sc Statistics$54.5K/Yr
"Southeast Missouri State University, Cape Girardeau","Missouri, usa",N/A,Estd. Year, M.S Management$15.5K/Yr
"Dickinson College, Carlisle","Pennsylvania, usa",N/A,-*-, B.Sc Political Science$54.6K/Yr
"University of West Georgia, Carrollton","Georgia, usa",N/A,Estd. Year, M.S Applied Computer S...$9.4K/Yr
"Castleton University, Castleton","Vermont, usa",N/A,Estd. Year, B.Sc Health Science$27.2K/Yr
"Southern Utah University, Cedar City","Utah, usa",N/A,Estd. Year, M.B.A$24.1K/Yr
"University of Northern Iowa, Cedar Falls","Iowa, usa",N/A,-*-, M.S Technology$19.6K/Yr
"Mount Mercy University, Cedar Rapids","Iowa, usa",N/A,Estd. Year, M.S Nursing$18.1K/Yr
"Coe College, Cedar Rapids","Iowa, usa",N/A,-*-, B.Sc Computer Science$45.6K/Yr
"Cedarville University, Cedarville","Ohio, usa",N/A,-*-, M.S Nurse Educator$9.3K/Yr
"Southern Wesleyan University, Central","South Carolina, usa",N/A,Estd. Year, M.B.A Healthcare Admin...$24.9K/Yr
"Chadron State College, Chadron","Nebraska, usa",N/A,Estd. Year, M.A Education - Mathem...$9.4K/Yr
"American Public University, Charles Town","West Virginia, usa",N/A,Estd. Year, M.B.A Information Tech...$10.5K/Yr
"Eastern Illinois University, Charleston","Illinois, usa",N/A,Estd. Year, M.S Technology$12.9K/Yr
"Citadel - Military College of South Carolina, Charleston","South Carolina, usa",N/A,-*-, M.S Mechanical Enginee...$46.9K/Yr
"University of Charleston, Charleston","West Virginia, usa",N/A,-*-, B.Sc Nursing$29.9K/Yr
"University of Wisconsin, Whitewater","Wisconsin, usa",N/A,Estd. Year, M.S Computer Science$18.8K/Yr
"Queens University of Charlotte, Charlotte","North Carolina, usa",N/A,-*-, M.S Nursing$16K/Yr
"Eastern Washington University, Cheney","Washington, usa",N/A,Estd. Year, M.S Computer Science$23.9K/Yr
"Widener University, Chester","Pennsylvania, usa",N/A,-*-, M.S Engineering - Engi...$20.9K/Yr
"Logan University, Chesterfield","Missouri, usa",N/A,Estd. Year, M.S Health Informatics$13.5K/Yr
"Washington College, Chestertown","Maryland, usa",N/A,-*-, B.A Communication and ...$47.7K/Yr
"Pine Manor College, Chestnut Hill","Massachusetts, usa",N/A,Estd. Year, M.F.A Creative Writing$12.5K/Yr
"Saint Xavier University, Chicago","Illinois, usa",N/A,Estd. Year, M.B.A Internet and Soc...$30K/Yr
"Roosevelt University, Chicago","Illinois, usa",N/A,Estd. Year, M.S Human Resource Man...$20.2K/Yr
"Northeastern Illinois University, Chicago","Illinois, usa",N/A,Estd. Year," M.A Communication, Med...$14.8K/Yr"
"University of Chicago Booth School of Business, Chicago","Illinois, usa",N/A, GMAT 570 | TOEFL 100 , M.B.A$72K/Yr
"Columbia College Chicago, Chicago","Illinois, usa",N/A,Estd. Year, M.A Management$36.8K/Yr
"School of Art Institute of Chicago, Chicago","Illinois, usa",N/A,Estd. Year, M.F.A Architecture$51.9K/Yr
"North Park University, Chicago","Illinois, usa",N/A,Estd. Year, M.S Nursing - Leadersh...$18.3K/Yr
"Chicago Theological Seminary, Chicago","Illinois, usa",N/A,Estd. Year, M.A Religious Studies$20K/Yr
"John Marshall Law School, Chicago","Illinois, usa",N/A,Estd. Year, L.L.M Information Tech...$46.9K/Yr
"Robert Morris University - Illinois, Chicago","Illinois, usa",N/A,Estd. Year, M.B.A$15K/Yr
"Kendall College, Chicago","Illinois, usa",N/A,Estd. Year, B.A Hospitality Manage...$32.7K/Yr
"Elms College, Chicopee","Massachusetts, usa",N/A,Estd. Year, M.S Autism Spectrum Di...$13.5K/Yr
"Xavier University, Cincinnati","Ohio, usa",N/A, GRE 297 | TOEFL 79 , M.Sc Nursing$20.1K/Yr
"Claremont Graduate University, Claremont","California, usa",N/A,-*-, M.A/M.P.H Applied Psyc...$59.4K/Yr
"Claremont School of Theology, Claremont","California, usa",N/A,Estd. Year, M.A Theological Studie...$25.2K/Yr
"Keck Graduate Institute, Claremont","California, usa",N/A,Estd. Year, M.S Applied Life Scien...$38.7K/Yr
"Harvey Mudd College, Claremont","California, usa",N/A,-*-, B.Sc Computer Science$56.3K/Yr
"Pitzer College, Claremont","California, usa",N/A,-*-, B.A Economics Mathemat...$54.1K/Yr
"Rogers State University, Claremore","Oklahoma, usa",N/A,Estd. Year, M.B.A$16.3K/Yr
"Clarion University of Pennsylvania, Clarion","Pennsylvania, usa",N/A,Estd. Year, M.S Nursing - Family N...$23.2K/Yr
"Clarks Summit University, Clarks Summit","Pennsylvania, usa",N/A,Estd. Year, M.Ed Education - Educa...$16.5K/Yr
"Austin Peay State University, Clarksville","Tennessee, usa",N/A,Estd. Year, B.Sc Engineering Techn...$19K/Yr
"Delta State University, Cleveland","Mississippi, usa",N/A,Estd. Year," M.S Health, Physical E...$6.4K/Yr"
"Cleveland Institute of Music, Cleveland","Ohio, usa",N/A,Estd. Year, M.A Orchestral Conduct...$39.9K/Yr
"Lee University, Cleveland","Tennessee, usa",N/A,Estd. Year, M.S Marriage and Famil...$21.3K/Yr
"Mississippi College, Clinton","Mississippi, usa",N/A,-*-, M.S Computer Science$18.3K/Yr
"Hamilton College, Clinton","New York, usa",N/A,-*-, B.Sc Computer Science$54.1K/Yr
"Presbyterian College, Clinton","South Carolina, usa",N/A,-*-, B.Sc Chemistry$35.8K/Yr
"Saint Michael's College, Colchester","Vermont, usa",N/A,-*-, B.A/B.Sc Media Studies...$45K/Yr
"Ursinus College, Collegeville","Pennsylvania, usa",N/A,-*-, B.Sc Neuroscience$18.7K/Yr
"Colorado Technical University, Colorado Springs","Colorado, usa",N/A,Estd. Year, M.B.A Human Resource M...$14.7K/Yr
"Colorado College, Colorado Springs","Colorado, usa",N/A,-*-, B.Sc Mathematics and C...$55K/Yr
"Columbia International University, Columbia","South Carolina, usa",N/A,Estd. Year, M.A Global Studies$10.5K/Yr
"Capital University, Columbus","Ohio, usa",N/A,-*-, M.S Nursing$18.7K/Yr
"Columbus State University, Columbus","Georgia, usa",N/A,Estd. Year, M.S Organizational Lea...$19.2K/Yr
"Mississippi University for Women, Columbus","Mississippi, usa",N/A,Estd. Year, M.A Public Health$6.8K/Yr
"Ohio Dominican University, Columbus","Ohio, usa",N/A,Estd. Year, M.S Physician Assistan...$24.2K/Yr
"Columbus College of Art and Design, Columbus","Georgia, usa",N/A,Estd. Year, M.A Design$35.9K/Yr
"Franklin University, Columbus","Ohio, usa",N/A,Estd. Year, M.S Computer Science$20.1K/Yr
"Texas A&M University, Commerce","Texas, usa",N/A,Estd. Year, M.S Finance$19.8K/Yr
"Coastal Carolina University, Conway","South Carolina, usa",N/A,Estd. Year, M.S Coastal Marine and...$19.4K/Yr
"Hendrix College, Conway","Arkansas, usa",N/A,-*-, M.A Accounting Account...$42K/Yr
"University of Central Arkansas, Conway","Arkansas, usa",N/A,Estd. Year, M.A Digital Filmmaking$21.8K/Yr
"University of Miami Online, Coral Gables","Florida, usa",N/A,Estd. Year, M.B.A Financial Decisi...$63K/Yr
"Texas A&M University, Corpus Christi","Texas, usa",N/A,Estd. Year, M.S Computer Science$35.2K/Yr
"Suny Cortland, Cortland","New York, usa",N/A,Estd. Year, M.S American Civilizat...$14.7K/Yr
"Vanguard University, Costa Mesa","California, usa",N/A,-*-, M.S Nursing$19K/Yr
"Wabash College, Crawfordsville","Indiana, usa",N/A,-*-, B.A English$43.9K/Yr
"Doane University, Crete","Nebraska, usa",N/A,-*-, B.B.A Business Adminis...$34.5K/Yr
"Holy Apostles, Cromwell","Connecticut, usa",N/A,Estd. Year, M.A Theology - Church ...$15K/Yr
"Western Carolina University, Cullowhee","North Carolina, usa",N/A,Estd. Year, M.S Human Resources$20.4K/Yr
"Antioch University, Yellow Springs","Ohio, usa",N/A,Estd. Year, M.S Applied Behavior A...$21.7K/Yr
"University of North Georgia, Dahlonega","Georgia, usa",N/A,-*-, M.S Kinesiology$15.1K/Yr
"Dallas Baptist University, Dallas","Texas, usa",N/A,-*-, M.B.A$30.1K/Yr
"Dallas Theological Seminary, Dallas","Texas, usa",N/A,Estd. Year, M.Th$17.4K/Yr
"Western Connecticut State University, Danbury","Connecticut, usa",N/A,Estd. Year, M.B.A$26.2K/Yr
"Centre College, Danville","Kentucky, usa",N/A,-*-, B.Sc Computer Science$55.8K/Yr
"Saint Ambrose University, Davenport","Iowa, usa",N/A,Estd. Year, M.B.A$28K/Yr
"Davidson College, Davidson","North Carolina, usa",N/A,-*-, B.Sc Computer Science$51.4K/Yr
"Omega Graduate School, Dayton","Tennessee, usa",N/A,Estd. Year, M.Litt Organizational ...$13.2K/Yr
"St. Norbert College, De Pere","Wisconsin, usa",N/A,-*-, B.Sc Computer Science$38.7K/Yr
"University of Michigan, Dearborn","Michigan, usa",N/A, IELTS 6.5 , M.S Business Analytics$20.5K/Yr
"Millikin University, Decatur","Illinois, usa",N/A,-*-, E.M.B.A$25K/Yr
"Agnes Scott College, Decatur","Georgia, usa",N/A,-*-, B.Sc Biology$42.4K/Yr
"Luther College Decorah, Decorah","Iowa, usa",N/A,-*-, B.Sc Neuroscience$41.9K/Yr
"Trinity International University, Deerfield","Illinois, usa",N/A,Estd. Year, M.A Leadership$17.5K/Yr
"Stetson University, DeLand","Florida, usa",N/A,-*-, M.S Clinical Mental He...$26.7K/Yr
"Ohio Wesleyan University, Delaware","Ohio, usa",N/A,-*-, B.A International Busi...$46.9K/Yr
"Texas Woman's University, Denton","Texas, usa",N/A,-*-, M.S Chemistry$20.9K/Yr
"Metropolitan State University, Denver","Colorado, usa",N/A,Estd. Year, M.A Health Administrat...$17.9K/Yr
"Regis University, Denver","Colorado, usa",N/A,-*-, M.S Biomedical Science...$25.6K/Yr
"Highline College, Des Moines","Washington, usa",N/A,Estd. Year, B.Sc Cybersecurity and...$20.7K/Yr
"Drake University, Des Moines","Iowa, usa",N/A,-*-, B.Sc Computer Science$42.7K/Yr
"University of Detroit Mercy, Detroit","Michigan, usa",N/A,Estd. Year, M.S Endodontics$47.4K/Yr
"College for Creative Studies, Detroit","Michigan, usa",N/A,Estd. Year, M.A Interaction Design$48.2K/Yr
"Mercy College New York, Dobbs Ferry","New York, usa",N/A,Estd. Year, M.S Cybersecurity$25.3K/Yr
"Millennia Atlantic University, Doral","Florida, usa",N/A,Estd. Year, M.B.A Accounting$16K/Yr
"Georgia Central University, Atlanta","Georgia, usa",N/A,Estd. Year, M.A Christian Educatio...$15K/Yr
"Delaware State University, Dover","Delaware, usa",N/A,Estd. Year, M.B.A$28.4K/Yr
"DeVry University, Naperville","Illinois, usa",N/A,Estd. Year, M.B.A Information Syst...$23K/Yr
"University of Dubuque, Dubuque","Iowa, usa",N/A,Estd. Year, M.S Physician Assistan...$38.2K/Yr
"Nichols College, Dudley","Massachusetts, usa",N/A,Estd. Year, M.S Accounting$22.5K/Yr
"Fort Lewis College, Durango","Colorado, usa",N/A,-*-, M.A Teacher Leadership$10.6K/Yr
"North Carolina Central University, Durham","North Carolina, usa",N/A,Estd. Year, M.S Pharmaceutical Sci...$17.7K/Yr
"New England Institute of Technology, Warwick","Rhode Island, usa",N/A,Estd. Year, M.S Engineering Manage...$16.9K/Yr
"East Stroudsburg University, East Stroudsburg","Pennsylvania, usa",N/A,Estd. Year, M.S Computer Science$23.2K/Yr
"Stonehill College, Easton","Massachusetts, usa",N/A,-*-, B.Sc Computer Science$42.7K/Yr
"University of Wisconsin, Eau Claire","Wisconsin, usa",N/A,-*-, M.S Nursing$30.8K/Yr
"Edinboro University, Edinboro","Pennsylvania, usa",N/A,Estd. Year, M.F.A$28.1K/Yr
"University of Central Oklahoma, Edmond","Oklahoma, usa",N/A,Estd. Year, M.Ed Educational Leade...$14.5K/Yr
"Oklahoma Christian University, Edmond","Oklahoma, usa",N/A,Estd. Year, M.S Computer Science$20.8K/Yr
"Elizabeth City State University, Elizabeth City","North Carolina, usa",N/A,Estd. Year, B.Sc Computer Science$18.7K/Yr
"Elizabethtown College, Elizabethtown","Pennsylvania, usa",N/A,-*-, M.Ed Curriculum and In...$20.1K/Yr
"Salus University, Elkins Park","Pennsylvania, usa",N/A,Estd. Year, M.S Low Vision Rehabil...$27.4K/Yr
"Elmhurst College, Elmhurst","Illinois, usa",N/A,-*-, M.S Supply Chain Manag...$26.1K/Yr
"Elmira College, Elmira","New York, usa",N/A,-*-, M.S Education$5.3K/Yr
"Mount Saint Mary's University, Emmitsburg","Maryland, usa",N/A,Estd. Year, M.B.A$20.1K/Yr
"Emporia State University, Emporia","Kansas, usa",N/A,Estd. Year, M.S Instructional Desi...$24.3K/Yr
"Gannon University, Erie","Pennsylvania, usa",N/A,Estd. Year, M.S Computer and Infor...$30.9K/Yr
"Mercyhurst University, Erie","Pennsylvania, usa",N/A,Estd. Year, B.Sc Applied Forensic ...$37K/Yr
"University of Evansville, Evansville","Indiana, usa",N/A,-*-, M.S Physician Assistan...$15.7K/Yr
"University of Southern Indiana, Evansville","Indiana, usa",N/A,Estd. Year, M.S Industrial Managem...$22.6K/Yr
"Virginia International University, Fairfax","Virginia, usa",N/A,Estd. Year, M.S Information System...$21.8K/Yr
"Sacred Heart University, Fairfield","Connecticut, usa",N/A, GRE 299 | IELTS 6 , M.Sc Computer Science ...$43.1K/Yr
"Maharishi University of Management, Fairfield","Iowa, usa",N/A,Estd. Year, M.S Computer Science$33K/Yr
"Fairmont State University, Fairmont","West Virginia, usa",N/A,Estd. Year, M.Arch$17.5K/Yr
"Longwood University, Farmville","Virginia, usa",N/A,Estd. Year, M.S Speech-Language Pa...$29.8K/Yr
"Fayetteville State University, Fayetteville","North Carolina, usa",N/A,Estd. Year, M.S Criminal Justice$14.6K/Yr
"University of Findlay, Findlay","Ohio, usa",N/A,Estd. Year, M.B.A Health care mana...$22.4K/Yr
"Fitchburg State University, Fitchburg","Massachusetts, usa",N/A,Estd. Year, M.A Biology$9.6K/Yr
"Kettering University, Flint","Michigan, usa",N/A,-*-, B.Sc Computer Engineer...$43.5K/Yr
"University of North Alabama, Florence","Alabama, usa",N/A,Estd. Year, M.A English$19.6K/Yr
"Francis Marion University, Florence","South Carolina, usa",N/A,Estd. Year, M.S Counseling Psychol...$21.2K/Yr
"University of Saint Francis, Fort Wayne","Indiana, usa",N/A,Estd. Year, M.S Clinical Mental He...$28K/Yr
"Indiana Tech, Fort Wayne","Indiana, usa",N/A,Estd. Year, M.S Organizational Lea...$11.7K/Yr
"Texas Wesleyan University, Fort Worth","Texas, usa",N/A,Estd. Year, M.S Nurse Anesthesia$35.3K/Yr
"Framingham State University, Framingham","Massachusetts, usa",N/A,Estd. Year, M.Ed International Tea...$35.2K/Yr
"Kentucky State University, Frankfort","Kentucky, usa",N/A,Estd. Year, M.S Computer Science T...$18.9K/Yr
"Future Generations University, Franklin","West Virginia, usa",N/A,Estd. Year, M.A Applied Community ...$23.8K/Yr
"Dean College, Franklin County","Massachusetts, usa",N/A,Estd. Year, B.A Marketing$39.2K/Yr
"The Conway School, Northampton","Massachusetts, usa",N/A,Estd. Year, M.A Ecological Design$29.9K/Yr
"Emmanuel College Boston, Boston","Massachusetts, usa",N/A,Estd. Year, B.A Management$20.4K/Yr
"Hood College, Frederick","Maryland, usa",N/A,-*-, M.S Computer Science$17.1K/Yr
"University of Mary Washington, Fredericksburg","Virginia, usa",N/A,-*-, M.B.A$28.1K/Yr
"State University of New York Fredonia, Fredonia","New York, usa",N/A,Estd. Year, M.S Interdisciplinary ...$28.3K/Yr
"Midland University, Fremont","Nebraska, usa",N/A,Estd. Year, M.B.A$24.9K/Yr
"Fresno Pacific University, Fresno","California, usa",N/A,Estd. Year, M.S Nursing$20.2K/Yr
"Frostburg State University, Frostburg","Maryland, usa",N/A,Estd. Year, M.S Applied Computer S...$16.7K/Yr
"Knox College, Galesburg","Illinois, usa",N/A,-*-, B.Sc Computer Science$47.4K/Yr
"Stockton University, Galloway","New Jersey, usa",N/A,-*-, M.S Nursing (Two Year ...$28.8K/Yr
"Texas A&M University, Galveston","Texas, usa",N/A,Estd. Year, M.A Maritime Administr...$12.4K/Yr
"Kenyon College, Gambier","Ohio, usa",N/A,-*-, B.A/B.Sc Chemistry$53.8K/Yr
"Indiana University Northwest, Gary","Indiana, usa",N/A,Estd. Year, M.S Educational Leader...$20.8K/Yr
"State University of New York at Geneseo, Geneseo","New York, usa",N/A,-*-, M.S Accounting$11.3K/Yr
"Hobart and William Smith Colleges, Geneva","New York, usa",N/A,-*-, B.Sc Computer Science$52.3K/Yr
"Southwestern University, Georgetown","Texas, usa",N/A,-*-, B.A Psychology Psychol...$43.6K/Yr
"College of DuPage, Glen Ellyn","Illinois, usa",N/A,Estd. Year, B.Sc Computer Science ...$14.6K/Yr
"Arcadia University, Glenside","Pennsylvania, usa",N/A,Estd. Year, M.S Mathematics Educat...$30.6K/Yr
"Westminster Theological Seminary, Glenside","Pennsylvania, usa",N/A,Estd. Year, M.A Religion$18.4K/Yr
"Glenville State College, Glenville","West Virginia, usa",N/A,Estd. Year, B.A/B.Sc Criminal Just...$16.5K/Yr
"Goshen College, Goshen","Indiana, usa",N/A,-*-, B.A/B.Sc Communication$33.7K/Yr
"Colorado Mesa University, Grand Junction","Colorado, usa",N/A,Estd. Year, M.S Nursing$18K/Yr
"Calvin College, Grand Rapids","Michigan, usa",N/A,-*-, M.Ed Education$15.1K/Yr
"Davenport University, Grand Rapids","Michigan, usa",N/A,Estd. Year, M.S Computer Science$27.7K/Yr
"Denison University, Granville","Ohio, usa",N/A,-*-," B.A Philosophy, Politi...$52.6K/Yr"
"Bard College at Simon's Rock, Great Barrington","Massachusetts, usa",N/A,Estd. Year, B.A/B.Sc Electronic Me...$53.7K/Yr
"Montana State University, Great Falls","Montana, usa",N/A,Estd. Year, B.Sc Computer Network ...$9.8K/Yr
"University of Wisconsin, Green Bay","Wisconsin, usa",N/A,Estd. Year, M.S Data Science$18.7K/Yr
"DePauw University, Greencastle","Indiana, usa",N/A,-*-, B.A/B.Sc Political Sci...$48.9K/Yr
"North Carolina Agricultural & Technical State University, Greensboro","North Carolina, usa",N/A,-*-, M.S Nanoengineering$23.1K/Yr
"Seton Hill University, Greensburg","Pennsylvania, usa",N/A,Estd. Year, M.B.A Entrepreneurship$23.7K/Yr
"Furman University, Greenville","South Carolina, usa",N/A,-*-, M.S Community Engaged ...$18.5K/Yr
"Bob Jones University, Greenville","South Carolina, usa",N/A,Estd. Year, M.S Educational Leader...$11.7K/Yr
"Greenville University, Greenville","Illinois, usa",N/A,Estd. Year, M.A Elementary Educati...$15K/Yr
"Lander University, Greenwood","South Carolina, usa",N/A,Estd. Year, M.S Emergency Manageme...$11.2K/Yr
"Grinnell College, Grinnell","Iowa, usa",N/A,-*-, B.A Physics$53.9K/Yr
"Pacific University, Forest Grove","Oregon, usa",N/A,-*-, M.A Education$22.7K/Yr
"Grove City College, Grove City","Pennsylvania, usa",N/A,-*-, B.Sc Computer Science$17.9K/Yr
"Western Colorado University, Gunnison","Colorado, usa",N/A,Estd. Year, M.S Exercise and Sport...$21K/Yr
"Southeastern Louisiana University, Hammond","Louisiana, usa",N/A,-*-, M.S Integrated Science...$21.9K/Yr
"Purdue University - Northwest, Hammond","Indiana, usa",N/A,Estd. Year, M.S Computer Science$19.3K/Yr
"Hampden Sydney College, Farmville","Virginia, usa",N/A,-*-, B.Sc Computer Science$44.5K/Yr
"Hampton University, Hampton","Virginia, usa",N/A,-*-, M.S Computer Science$23.8K/Yr
"Hanover College, Hanover","Indiana, usa",N/A,-*-, B.Sc Engineering$36.9K/Yr
"Eastern Mennonite University, Harrisonburg","Virginia, usa",N/A,Estd. Year, M.A Biomedicine$18K/Yr
"Lincoln Memorial University, Harrogate","Tennessee, usa",N/A,Estd. Year, M.S Biomedical Science$29.2K/Yr
"University of Hartford, West Hartford","Connecticut, usa",N/A,-*-, M.A Architecture$23.4K/Yr
"Trinity College, Hartford","Connecticut, usa",N/A,-*-, M.A American Studies$25.6K/Yr
"Hastings College, Hastings","Nebraska, usa",N/A,-*-, M.A Teaching$31.6K/Yr
"Missio Seminary, Philadelphia","Pennsylvania, usa",N/A,Estd. Year, M.A Ministry$12.7K/Yr
"Northpoint Bible College, Haverhill","Massachusetts, usa",N/A,Estd. Year, M.A Practical Theology$5.2K/Yr
"Montana State University - Northern, Havre","Montana, usa",N/A,Estd. Year," M.S Education, Instruc...$31.8K/Yr"
"Fort Hays State University, Hays","Kansas, usa",N/A,Estd. Year, M.S Instructional Tech...$18.1K/Yr
"California State University - East Bay, Hayward","California, usa",N/A,-*-, M.B.A Marketing Manage...$15.1K/Yr
"Carroll College, Helena","Montana, usa",N/A,-*-, M.A Accounting Account...$15.7K/Yr
"New England College, Henniker","New Hampshire, usa",N/A,Estd. Year, M.S Engineering Projec...$23K/Yr
"Strayer University, Washington","District of Columbia, usa",N/A,Estd. Year, M.S Marketing Manageme...$14.8K/Yr
"Florida National University, Hialeah","Florida, usa",N/A,Estd. Year, M.S Nursing$20.2K/Yr
"High Point University, High Point","North Carolina, usa",N/A, IELTS 6.0 , M.Sc Athletic Training$37.6K/Yr
"Tabor College, Hillsboro","Kansas, usa",N/A,Estd. Year, M.S Nursing - Executiv...$17.2K/Yr
"Hillsdale College, Hillsdale","Michigan, usa",N/A,-*-, B.A/B.Sc Chemistry$26.7K/Yr
"Hiram College, Hiram","Ohio, usa",N/A,-*-, M.A Interdisciplinary ...$16.5K/Yr
"LIGS University, Honolulu","Hawaii, usa",N/A,Estd. Year, M.S$8.9K/Yr
"Hawaii Pacific University, Honolulu","Hawaii, usa",N/A,Estd. Year, M.B.A$18.9K/Yr
"Houghton College, Houghton","Michigan, usa",N/A,-*-, B.A Psychology - Clini...$32.9K/Yr
"University of Houston - Downtown, Houston","Texas, usa",N/A,Estd. Year, M.S Data Analytics$14.1K/Yr
"University of Houston - Clear Lake, Houston","Texas, usa",N/A,Estd. Year, M.S Management Informa...$20.4K/Yr
"Texas Southern University, Houston","Texas, usa",N/A,Estd. Year, M.S Management Informa...$13.7K/Yr
"Houston Baptist University, Houston","Texas, usa",N/A,Estd. Year, M.S Human Resources Ma...$17.2K/Yr
"Juniata College, Huntingdon","Pennsylvania, usa",N/A,-*-, B.Sc Computer Science$44.8K/Yr
"Purdue University Global, Indianapolis","Indiana, usa",N/A,Estd. Year, M.S Management - Human...$26.3K/Yr
"Butler University, Indianapolis","Indiana, usa",N/A,-*-, M.S Education - Effect...$17.4K/Yr
"University of Indianapolis, Indianapolis","Indiana, usa",N/A,Estd. Year, M.B.A$18.4K/Yr
"West Virginia State University, Institute","West Virginia, usa",N/A,Estd. Year, M.S Computer Science$18.3K/Yr
"Concordia University, Irvine","California, usa",N/A,Estd. Year, M.A International Stud...$7.2K/Yr
"University of Dallas, Irving","Texas, usa",N/A,-*-, M.S Business Analytics$37.5K/Yr
"Ithaca College, Ithaca","New York, usa",N/A,-*-, M.S Occupational Thera...$26K/Yr
"Millsaps College, Jackson","Mississippi, usa",N/A,-*-, M.B.A$29.5K/Yr
"Wesley Biblical Seminary, Ridgeland","Mississippi, usa",N/A,Estd. Year, M.A Christian Studies$14.8K/Yr
"Jacksonville University, Jacksonville","Florida, usa",N/A,Estd. Year, M.S Health Informatics$23.8K/Yr
"Jacksonville State University, Jacksonville","Alabama, usa",N/A,Estd. Year, M.S Computer Systems a...$22.9K/Yr
"Illinois College, Jacksonville","Illinois, usa",N/A,-*-, B.Sc Computer Science$32.5K/Yr
