UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
The College at Brockport Brockport,New York usa,NA,Estd. Year,22,Estd. Year,
Monroe College Bronx,New York usa,NA,Estd. Year,14,Estd. Year,
Sarah Lawrence College Bronxville,New York usa,NA,N/A,37,N/A,
Boston Graduate School of Psychoanalysis Brookline,Massachusetts usa,NA,Estd. Year,23,Estd. Year,
Hellenic College Holy Cross Brookline,Massachusetts usa,NA,Estd. Year,21,Estd. Year,
Pratt Institute Brooklyn,New York usa,NA,N/A,25,N/A,
Brooklyn Law School Brooklyn,New York usa,NA,Estd. Year,59,Estd. Year,
New York City College of Technology Brooklyn,New York usa,NA,N/A,18,N/A,
Long Island University Brooklyn,New York usa,NA, TOEFL 79 ,37, TOEFL 79 ,
Long Island University Post Greenvale,New York usa,NA, TOEFL 79 ,39, TOEFL 79 ,
Bowdoin College Brunswick,Maine usa,NA,N/A,53,N/A,
Southern Virginia University Buena Vista,Virginia usa,NA,Estd. Year,16,Estd. Year,
Canisius College Buffalo,New York usa,NA,N/A,24,N/A,
Niagara University Niagara University,New York usa,NA,Estd. Year,16,Estd. Year,
D'Youville College Buffalo,New York usa,NA,Estd. Year,28,Estd. Year,
Campbell University Buies Creek,North Carolina usa,NA,Estd. Year,14,Estd. Year,
New York Film Academy Burbank,California usa,NA,Estd. Year,28,Estd. Year,
Champlain College Burlington,Vermont usa,NA,Estd. Year,32,Estd. Year,
Slippery Rock University Slippery Rock,Pennsylvania usa,NA,Estd. Year,16,Estd. Year,
Montana Tech Butte,Montana usa,NA,N/A,25,N/A,
California University of Pennsylvania California,Pennsylvania usa,NA,Estd. Year,23,Estd. Year,
California State University - Channel Islands Camarillo,California usa,NA,Estd. Year,8.2,Estd. Year,
Hult International Business School Cambridge,Massachusetts usa,NA, GMAT 610 ,49, GMAT 610 ,
University of Maryland Center for Environmental Science Cambridge,Maryland usa,NA,N/A,39,N/A,
Lesley University Cambridge,Massachusetts usa,NA,N/A,34,N/A,
Longy School of Music Cambridge,Massachusetts usa,NA,Estd. Year,41,Estd. Year,
St. Lawrence University Canton,New York usa,NA,N/A,54,N/A,
Southeast Missouri State University Cape Girardeau,Missouri usa,NA,Estd. Year,15,Estd. Year,
Dickinson College Carlisle,Pennsylvania usa,NA,N/A,54,N/A,
University of West Georgia Carrollton,Georgia usa,NA,Estd. Year,9.4,Estd. Year,
Castleton University Castleton,Vermont usa,NA,Estd. Year,27,Estd. Year,
Southern Utah University Cedar City,Utah usa,NA,Estd. Year,24,Estd. Year,
University of Northern Iowa Cedar Falls,Iowa usa,NA,N/A,19,N/A,
Mount Mercy University Cedar Rapids,Iowa usa,NA,Estd. Year,18,Estd. Year,
Coe College Cedar Rapids,Iowa usa,NA,N/A,45,N/A,
Cedarville University Cedarville,Ohio usa,NA,N/A,9.3,N/A,
Southern Wesleyan University Central,South Carolina usa,NA,Estd. Year,24,Estd. Year,
Chadron State College Chadron,Nebraska usa,NA,Estd. Year,9.4,Estd. Year,
