UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
University of Oklahoma Norman,Oklahoma usa,4.9 , GRE 320 | TOEFL 79 ,20, GRE 320 , TOEFL 79 
University of South Carolina Columbia,South Carolina usa,4.9 ,N/A,21,N/A,
Wake Forest University Winston-Salem,North Carolina usa,4.9 ,N/A,38,N/A,
Brandeis University Waltham,Massachusetts usa,4.8 , TOEFL 100 ,50, TOEFL 100 ,
College of William & Mary Williamsburg,Virginia usa,4.8 ,N/A,33,N/A,
Iowa State University Ames,Iowa usa,4.8 , TOEFL 79 ,29, TOEFL 79 ,
University of Connecticut Storrs,Connecticut usa,4.8 ,N/A,18,N/A,
University of Tennessee Knoxville,Tennessee usa,4.8 , TOEFL 80 ,31, TOEFL 80 ,
University of Houston Houston,Texas usa,4.8 , GMAT 610 | TOEFL 100 ,75, GMAT 610 , TOEFL 100 
University of Alaska Fairbanks,Alaska usa,4.8 ,N/A,20,N/A,
University of Minnesota- Duluth Duluth,Minnesota usa,4.8 ,N/A,28,N/A,
Hofstra University Hempstead,New York usa,4.8 , IELTS 6.5 ,42, IELTS 6.5 ,
University of Delaware Newark,Delaware usa,4.7 , GRE 306 | TOEFL 79 ,20, GRE 306 , TOEFL 79 
University of Vermont Burlington,Vermont usa,4.7 ,N/A,44,N/A,
University of Massachusetts Lowell,Massachusetts usa,4.7 , IELTS 6.5 ,26, IELTS 6.5 ,
George Mason University Fairfax,Virginia usa,4.7 , GRE 309 | IELTS 6.5 ,45, GRE 309 , IELTS 6.5 
San Jose State University San Jose,California usa,4.7 ,N/A,16,N/A,
Rensselaer Polytechnic Institute Troy,New York usa,4.7 , TOEFL 88 ,55, TOEFL 88 ,
Oregon State University Corvallis,Oregon usa,4.7 , IELTS 6.5 ,22, IELTS 6.5 ,
University of Georgia Athens,Georgia usa,4.7 , GMAT 663 | TOEFL 100 ,32, GMAT 663 , TOEFL 100 
Wayne State University Detroit,Michigan usa,4.7 , GRE 294 | TOEFL 79 ,57, GRE 294 , TOEFL 79 
University of Maryland Baltimore,Maryland usa,4.7 , TOEFL 80 ,45, TOEFL 80 ,
Boston College Chestnut Hill,Massachusetts usa,4.6 , GMAT 625 | TOEFL 100 ,53, GMAT 625 , TOEFL 100 
University of New Mexico Albuquerque,New Mexico usa,4.6 ,N/A,8.2,N/A,
University of California Riverside,California usa,4.6 , GMAT 594 ,27, GMAT 594 ,
University of Tampa Tampa,Florida usa,4.6 , GRE 299 | IELTS 6.5 ,29, GRE 299 , IELTS 6.5 
Central Michigan University Mount Pleasant,Michigan usa,4.6 , IELTS 6.5 ,25, IELTS 6.5 ,
Tulane University New Orleans,Louisiana usa,4.6 , TOEFL 89 ,13, TOEFL 89 ,
University at Albany Albany,New York usa,4.6 ,N/A,22,N/A,
Texas Christian University Fort Worth,Texas usa,4.6 ,N/A,30,N/A,
Stevens Institute of Technology Hoboken,New Jersey usa,4.6 , GMAT 500 | IELTS 7 ,39, GMAT 500 , IELTS 7 
Colorado State University Fort Collins,Colorado usa,4.5 ,N/A,28,N/A,
University of Missouri Columbia,Missouri usa,4.5 ,N/A,23,N/A,
University of Massachusetts Amherst,Massachusetts usa,4.5 , GMAT 648 | TOEFL 100 ,33, GMAT 648 , TOEFL 100 
Washington State University Pullman,Washington usa,4.5 , TOEFL 93 ,25, TOEFL 93 ,
Texas Tech University Lubbock,Texas usa,4.5 ,N/A,18,N/A,
Indiana University - Purdue University Indianapolis Indianapolis,Indiana usa,4.5 ,N/A,24,N/A,
University of Montana Missoula,Montana usa,4.4 ,N/A,33,N/A,
University at Buffalo Buffalo,New York usa,4.4 , GMAT 740 | IELTS 6.5 ,24, GMAT 740 , IELTS 6.5 
University of Louisiana Lafayette,Louisiana usa,4.4 ,N/A,40,N/A,
Florida State University Tallahassee,Florida usa,4.4 , GRE 295 | TOEFL 80 ,33, GRE 295 , TOEFL 80 
Lehigh University Bethlehem,Pennsylvania usa,4.4 , TOEFL 90 ,33, TOEFL 90 ,
Florida International University Miami,Florida usa,4.4 ,N/A,18,N/A,
East Tennessee State University Johnson City,Tennessee usa,4.4 ,N/A,27,N/A,
Oregon Health & Science University Portland,Oregon usa,4.4 ,N/A,14,N/A,
University of Kentucky Lexington,Kentucky usa,4.3 , GRE 300 | IELTS 6.5 ,36, GRE 300 , IELTS 6.5 
West Virginia University Morgantown,West Virginia usa,4.3 , GRE 300 | IELTS 6.5 ,24, GRE 300 , IELTS 6.5 
Rush University Chicago,Illinois usa,4.3 ,N/A,35,N/A,
Creighton University Omaha,Nebraska usa,4.3 ,N/A,17,N/A,
Clemson University Clemson,South Carolina usa,4.3 , TOEFL 102 ,37, TOEFL 102 ,
Montclair State University Montclair,New Jersey usa,4.3 ,N/A,18,N/A,
Virginia Commonwealth University Richmond,Virginia usa,4.3 ,N/A,27,N/A,
Icahn School of Medicine at Mount Sinai New York City,New York usa,4.2 ,N/A,32,N/A,
Baylor College of Medicine Houston,Texas usa,4.2 ,N/A,37,N/A,
Jackson State University Jackson,Mississippi usa,4.2 ,N/A,7.6,N/A,
University of Nebraska Medical Center Omaha,Nebraska usa,4.2 ,N/A,21,N/A,
University of Texas Arlington,Texas usa,4.2 ,N/A,10,N/A,
University of Central Florida Orlando,Florida usa,4.2 , GMAT 500 | IELTS 7 ,35, GMAT 500 , IELTS 7 
University of Texas San Antonio,Texas usa,4.2 ,N/A,26,N/A,
San Diego State University San Diego,California usa,4.2 , GRE 300 | TOEFL 80 ,16, GRE 300 , TOEFL 80 
Auburn University Auburn,Alabama usa,4.2 , SAT 1330 | IELTS 6.5 ,31, SAT 1330 , IELTS 6.5 
Kent State University Kent,Ohio usa,4.2 , TOEFL 71 ,17, TOEFL 71 ,
University of Arkansas Little Rock,Arkansas usa,4.2 ,N/A,18,N/A,
University of Idaho Moscow,Idaho usa,4.2 ,N/A,28,N/A,
University of Alabama Tuscaloosa,Alabama usa,4.2 , TOEFL 79 ,30, TOEFL 79 ,
Yeshiva University New York City,New York usa,4.2 ,N/A,39,N/A,
Thomas Jefferson University Philadelphia,Pennsylvania usa,4.2 ,N/A,36,N/A,
Cleveland State University Cleveland,Ohio usa,4.2 ,N/A,22,N/A,
Georgia State University Atlanta,Georgia usa,4.2 , GRE 298 | TOEFL 90 ,79, GRE 298 , TOEFL 90 
Saint Louis University Saint Louis,Missouri usa,4.2 ,N/A,33,N/A,
University of North Carolina Wilmington,North Carolina usa,4.2 ,N/A,22,N/A,
The Medical University of South Carolina Charleston,South Carolina usa,4.2 ,N/A,55,N/A,
Southern Methodist University Dallas,Texas usa,4.2 ,N/A,48,N/A,
University of Arkansas Fayetteville,Arkansas usa,4.2 ,N/A,28,N/A,
Old Dominion University Norfolk,Virginia usa,4.2 , GRE 310 | TOEFL 79 ,41, GRE 310 , TOEFL 79 
Georgia Southern University Statesboro,Georgia usa,4.2 ,N/A,29,N/A,
University of South Dakota Vermillion,South Dakota usa,4.2 , IELTS 6.0 ,17, IELTS 6.0 ,
University of Wisconsin Milwaukee,Wisconsin usa,4.2 ,N/A,25,N/A,
University of Mississippi University,Mississippi usa,4.2 ,N/A,25,N/A,
College of Charleston Charleston,South Carolina usa,4.2 ,N/A,34,N/A,
Villanova University Villanova,Pennsylvania usa,4.2 , GRE 314 | TOEFL 80 ,20, GRE 314 , TOEFL 80 
University of Denver Denver,Colorado usa,4.2 , GRE 299 | TOEFL 80 ,42, GRE 299 , TOEFL 80 
Northern Arizona University Flagstaff,Arizona usa,4.2 ,N/A,29,N/A,
Kansas State University Manhattan,Kansas usa,4.2 ,N/A,26,N/A,
New Jersey Institute of Technology Newark,New Jersey usa,4.2 ,N/A,31,N/A,
Florida Institute of Technology Melbourne,Florida usa,4.2 ,N/A,37,N/A,
Idaho State University Pocatello,Idaho usa,4.2 ,N/A,24,N/A,
University of Puerto Rico - Rio Piedras San Juan,Puerto Rico usa,4.2 ,N/A,9.4,N/A,
New Mexico Institute of Mining and Technology Socorro,New Mexico usa,4.2 ,N/A,24,N/A,
Baylor University Waco,Texas usa,4.2 , GRE 297 | IELTS 6.5 ,53, GRE 297 , IELTS 6.5 
Oklahoma State University Stillwater,Oklahoma usa,4.2 , GMAT 609 | IELTS 6.5 ,42, GMAT 609 , IELTS 6.5 
North Dakota State University Fargo,North Dakota usa,4.2 ,N/A,18,N/A,
New Mexico State University Las Cruces,New Mexico usa,4.2 ,N/A,24,N/A,
University of Louisville Louisville,Kentucky usa,4.2 ,N/A,26,N/A,
University of New Hampshire Durham,New Hampshire usa,4.2 ,N/A,32,N/A,
Western Washington University Bellingham,Washington usa,4.2 ,N/A,22,N/A,
Miami University Oxford,Ohio usa,4.2 ,N/A,39,N/A,
University of Massachusetts Boston,Massachusetts usa,4.2 ,N/A,33,N/A,
The New School New York City,New York usa,4.2 ,N/A,39,N/A,
University of Wyoming Laramie,Wyoming usa,4.2 ,N/A,15,N/A,
University of Tulsa Tulsa,Oklahoma usa,4.2 ,N/A,38,N/A,
University of Missouri Kansas City,Missouri usa,4.2 ,N/A,31,N/A,
Utah State University Logan,Utah usa,4.2 ,N/A,19,N/A,
Rowan University Glassboro,New Jersey usa,4.2 ,N/A,21,N/A,
Montana State University Bozeman,Montana usa,4.2 ,N/A,19,N/A,
Augusta University Augusta,Georgia usa,4.1 ,N/A,,N/A,
Loyola University Chicago,Illinois usa,4.1 ,N/A,31,N/A,
University of North Texas Denton,Texas usa,4.1 , GRE 307 | TOEFL 79 ,22, GRE 307 , TOEFL 79 
Fordham University Bronx,New York usa,4.1 , GMAT 622 | IELTS 7.0 ,50, GMAT 622 , IELTS 7.0 
South Dakota State University Brookings,South Dakota usa,4.1 ,N/A,12,N/A,
Haverford College Haverford,Pennsylvania usa,4.1 ,N/A,54,N/A,
Western Michigan University Kalamazoo,Michigan usa,4.1 ,N/A,15,N/A,
University of Akron Akron,Ohio usa,4.1 ,N/A,16,N/A,
Ohio University Athens,Ohio usa,4.1 , TOEFL 80 ,33, TOEFL 80 ,
Northern Illinois University DeKalb,Illinois usa,4.1 ,N/A,11,N/A,
Marquette University Milwaukee,Wisconsin usa,4.1 , TOEFL 80 ,17, TOEFL 80 ,
Naval Postgraduate School Monterey,California usa,4.1 ,N/A,,N/A,
The City College of New York New York City,New York usa,4.1 ,N/A,12,N/A,
University of Nevada Reno,Nevada usa,4.1 ,N/A,21,N/A,
Missouri University of Science and Technology Rolla,Missouri usa,4.1 ,N/A,37,N/A,
University of Toledo Toledo,Ohio usa,4.1 ,N/A,25,N/A,
California State University Fresno,California usa,4.1 , IELTS 6.5 ,17, IELTS 6.5 ,
University of Rhode Island Kingston,Rhode Island usa,4.1 ,N/A,25,N/A,
Michigan Technological University Houghton,Michigan usa,4.1 ,N/A,18,N/A,
University of California Merced,California usa,4.1 ,N/A,28,N/A,
Mississippi State University Mississippi State,Mississippi usa,4.1 ,N/A,14,N/A,
Duquesne University Pittsburgh,Pennsylvania usa,4.1 ,N/A,25,N/A,
University of Alaska Anchorage,Alaska usa,4.1 ,N/A,36,N/A,
University of Maryland Baltimore County Baltimore,Maryland usa,4.1 , IELTS 6.5 ,19, IELTS 6.5 ,
University of Nevada Las Vegas,Nevada usa,4.1 ,N/A,23,N/A,
South Dakota School of Mines & Technology Rapid City,South Dakota usa,4.1 ,N/A,14,N/A,
Howard University Washington,District of Columbia usa,4.1 , GMAT 520 | TOEFL 90 ,51, GMAT 520 , TOEFL 90 
College of Staten Island Staten Island,New York usa,4.1 ,N/A,14,N/A,
University of North Carolina Charlotte,North Carolina usa,4.1 , IELTS 6.5 ,33, IELTS 6.5 ,
Marshall University Huntington,West Virginia usa,4.1 ,N/A,20,N/A,
Portland State University Portland,Oregon usa,4.1 , GRE 300 | TOEFL 80 ,14, GRE 300 , TOEFL 80 
Rochester Institute of Technology Rochester,New York usa,4.1 , IELTS 7 ,78, IELTS 7 ,
California Polytechnic State University San Luis Obispo,California usa,4.1 ,N/A,21,N/A,
New York Medical College Valhalla,New York usa,4.1 ,N/A,58,N/A,
Virginia Institute of Marine Science Gloucester Point,Virginia usa,4.1 ,Estd. Year,,Estd. Year,
Lamar University Beaumont,Texas usa,4.1 ,Estd. Year,20,Estd. Year,
Southern Illinois University Carbondale,Illinois usa,4.1 ,N/A,29,N/A,
University of Memphis Memphis,Tennessee usa,4.1 , GRE 299 | TOEFL 79 ,29, GRE 299 , TOEFL 79 
San Francisco State University San Francisco,California usa,4.1 ,N/A,10,N/A,
Illinois Institute of Technology Chicago,Illinois usa,4.1 , GRE 304 | IELTS 6.5 ,53, GRE 304 , IELTS 6.5 
Wichita State University Wichita,Kansas usa,4.1 ,N/A,22,N/A,
Texas State University San Marcos,Texas usa,4.1 , IELTS 6.5 ,31, IELTS 6.5 ,
Chapman University Orange,California usa,4.1 , GMAT 600 | IELTS 6.5 ,43, GMAT 600 , IELTS 6.5 
University of Texas El Paso,Texas usa,4.1 ,N/A,47,N/A,
Florida Atlantic University Boca Raton,Florida usa,4.1 ,N/A,20,N/A,
Hunter College New York City,New York usa,4.1 ,N/A,24,N/A,
University of Hawaii Hilo,Hawaii usa,4.1 ,N/A,26,N/A,
University of Maine Orono,Maine usa,4.1 ,N/A,27,N/A,
James Madison University Harrisonburg,Virginia usa,4.1 , GRE 310 | TOEFL 80 ,51, GRE 310 , TOEFL 80 
University of North Carolina Greensboro,North Carolina usa,4.1 ,N/A,19,N/A,
University of Alabama Huntsville,Alabama usa,4.1 ,N/A,24,N/A,
Appalachian State University Boone,North Carolina usa,4.1 ,N/A,13,N/A,
California State University Long Beach,California usa,4.1 ,N/A,9.1,N/A,
Illinois State University Normal,Illinois usa,4.1 ,N/A,18,N/A,
Brooklyn College Brooklyn,New York usa,4.1 ,N/A,14,N/A,
Clarkson University Potsdam,New York usa,4.1 ,N/A,,N/A,
University of Missouri St. Louis,Missouri usa,4.1 ,N/A,,N/A,
University of North Dakota Grand Forks,North Dakota usa,4.1 ,N/A,23,N/A,
Loma Linda University Loma Linda,California usa,4.1 ,N/A,30,N/A,
University of South Alabama Mobile,Alabama usa,4.1 ,N/A,26,N/A,
Sonoma State University Rohnert Park,California usa,4.1 ,N/A,12,N/A,
East Carolina University Greenville,North Carolina usa,4.1 ,N/A,10,N/A,
Southern University and A&M College Baton Rouge,Louisiana usa,4.1 ,N/A,4.3,N/A,
Embry-Riddle Aeronautical University Daytona Beach,Florida usa,4.1 , TOEFL 79 ,20, TOEFL 79 ,
Oakland University Rochester,Michigan usa,4.1 ,N/A,16,N/A,
Towson University Towson,Maryland usa,4.1 , IELTS 6.5 ,51, IELTS 6.5 ,
Baruch College New York City,New York usa,4.1 , TOEFL 80 ,24, TOEFL 80 ,
Morehouse School of Medicine Atlanta,Georgia usa,4.1 , IELTS 7 ,25, IELTS 7 ,
University of Colorado Colorado Springs,Colorado usa,4.1 ,N/A,23,N/A,
Sam Houston State University Huntsville,Texas usa,4.1 ,N/A,20,N/A,
Santa Clara University Santa Clara,California usa,4.1 , IELTS 6.5 ,20, IELTS 6.5 ,
Catholic University of America Washington,District of Columbia usa,4.1 ,N/A,45,N/A,
Western Kentucky University Bowling Green,Kentucky usa,4.1 ,N/A,19,N/A,
Wright State University Dayton,Ohio usa,4.1 ,N/A,12,N/A,
Bowling Green State University Bowling Green,Ohio usa,4.1 ,N/A,30,N/A,
University of Dayton Dayton,Ohio usa,4.1 , GMAT 519 | IELTS 6.5 ,32, GMAT 519 , IELTS 6.5 
Medical College of Wisconsin Milwaukee,Wisconsin usa,4.1 ,N/A,18,N/A,
California State University Los Angeles,California usa,4.1 ,N/A,18,N/A,
University of Massachusetts North Dartmouth,Massachusetts usa,4.1 ,N/A,15,N/A,
Florida Agricultural & Mechanical University Tallahassee,Florida usa,4.1 ,N/A,36,N/A,
Ball State University Muncie,Indiana usa,4.1 ,N/A,22,N/A,
University of New Orleans New Orleans,Louisiana usa,4.1 ,N/A,28,N/A,
Chicago State University Chicago,Illinois usa,4.1 ,Estd. Year,37,Estd. Year,
Bucknell University Lewisburg,Pennsylvania usa,4.1 ,N/A,55,N/A,
Queens College Queens,New York usa,4.1 , IELTS 5 ,24, IELTS 5 ,
Wesleyan University Middletown,Connecticut usa,4.1 ,N/A,,N/A,
University of Pacific Stockton,California usa,4.1 ,N/A,47,N/A,
DePaul University Chicago,Illinois usa,4.1 , IELTS 6.5 ,22, IELTS 6.5 ,
Kennesaw State University Kennesaw,Georgia usa,4.1 , IELTS 6.5 ,34, IELTS 6.5 ,
Louisiana Tech University Ruston,Louisiana usa,4.1 ,N/A,8.9,N/A,
University of Oklahoma Health Sciences Center Oklahoma City,Oklahoma usa,4.1 ,N/A,18,N/A,
University of North Florida Jacksonville,Florida usa,4.1 ,N/A,31,N/A,
University of Texas Medical Branch at Galveston Galveston,Texas usa,4.1 ,N/A,36,N/A,
University of Richmond Richmond,Virginia usa,4.1 ,N/A,37,N/A,
Youngstown State University Youngstown,Ohio usa,4.1 ,Estd. Year,,Estd. Year,
University of Southern Mississippi Hattiesburg,Mississippi usa,4.1 ,N/A,12,N/A,
Texas A&M University Kingsville,Texas usa,4.1 , GRE 304 | IELTS 6.5 ,14, GRE 304 , IELTS 6.5 
Fairfield University Fairfield,Connecticut usa,4.1 ,N/A,29,N/A,
Franklin & Marshall College Lancaster,Pennsylvania usa,4.1 ,N/A,56,N/A,
Arkansas State University Jonesboro,Arkansas usa,4.1 ,Estd. Year,38,Estd. Year,
University of San Diego San Diego,California usa,4.1 ,N/A,45,N/A,
Grand Valley State University Allendale,Michigan usa,4.1 ,N/A,12,N/A,
Simmons University Boston,Massachusetts usa,4.1 ,N/A,31,N/A,
Lehman College Bronx,New York usa,4.1 ,N/A,14,N/A,
Smith College Northampton,Massachusetts usa,4.1 ,N/A,52,N/A,
Clark Atlanta University Atlanta,Georgia usa,4.1 ,Estd. Year,28,Estd. Year,
University of Texas M. D. Anderson Cancer Center Houston,Texas usa,4.1 ,N/A,,N/A,
Mercer University Macon,Georgia usa,4.1 ,N/A,13,N/A,
Missouri State University Springfield,Missouri usa,4.1 , TOEFL 79 ,17, TOEFL 79 ,
Humboldt State University Arcata,California usa,4.1 ,N/A,8.9,N/A,
Uniformed Services University of Health Sciences Bethesda,Maryland usa,4.1 ,N/A,44,N/A,
California State Polytechnic University Pomona,California usa,4.1 ,N/A,22,N/A,
University of San Francisco San Francisco,California usa,4.1 , GRE 299 | TOEFL 92 ,23, GRE 299 , TOEFL 92 
Swarthmore College Swarthmore,Pennsylvania usa,4.1 ,N/A,52,N/A,
Williams College Williamstown,Massachusetts usa,4.1 ,N/A,55,N/A,
Tennessee State University Nashville,Tennessee usa,4.1 ,Estd. Year,52,Estd. Year,
Middle Tennessee State University Murfreesboro,Tennessee usa,4.1 ,N/A,,N/A,
Colby College Waterville,Maine usa,4.1 ,N/A,69,N/A,
State University of New York Polytechnic Institute Albany,New York usa,4.1 ,Estd. Year,17,Estd. Year,
University of Texas Southwestern Medical Center Dallas,Texas usa,4.1 ,N/A,25,N/A,
Mount Holyoke College South Hadley,Massachusetts usa,4.1 ,N/A,24,N/A,
Whitman College Walla Walla,Washington usa,4.1 ,N/A,51,N/A,
University of Texas Austin,Texas usa,4.0 , GMAT 650 | IELTS 6.5 ,56, GMAT 650 , IELTS 6.5 
Texas A&M University Health Science Center Bryan,Texas usa,4.0 ,N/A,17,N/A,
University of New England Maine Biddeford,Maine usa,4.0 ,N/A,26,N/A,
Pomona College Claremont,California usa,4.0 ,N/A,52,N/A,
California State University Sacramento,California usa,4.0 ,N/A,15,N/A,
Tennessee Technological University Cookeville,Tennessee usa,4.0 ,N/A,17,N/A,
Oberlin College & Conservatory Oberlin,Ohio usa,4.0 ,N/A,55,N/A,
Colgate University Hamilton,New York usa,4.0 , TOEFL 100 ,57, TOEFL 100 ,
Eastern Michigan University Ypsilanti,Michigan usa,4.0 ,Estd. Year,24,Estd. Year,
University of Northern Colorado Greeley,Colorado usa,4.0 ,N/A,22,N/A,
Loyola Marymount University Los Angeles,California usa,4.0 ,N/A,29,N/A,
Lafayette College Easton,Massachusetts usa,4.0 ,N/A,52,N/A,
Indiana University - Purdue University Fort Wayne Fort Wayne,Indiana usa,4.0 ,Estd. Year,16,Estd. Year,
John Jay College of Criminal Justice New York City,New York usa,4.0 ,N/A,24,N/A,
University of Puerto Rico - Medical Sciences Campus San Juan,Puerto Rico usa,4.0 ,N/A,,N/A,
Pace University New York City,New York usa,4.0 , IELTS 6.5 ,39, IELTS 6.5 ,
Reed College Portland,Oregon usa,4.0 ,N/A,53,N/A,
West Chester University West Chester,Pennsylvania usa,4.0 ,N/A,22,N/A,
College of Holy Cross Worcester,Massachusetts usa,4.0 ,N/A,52,N/A,
Central Washington University Ellensburg,Washington usa,4.0 ,N/A,11,N/A,
Vassar College Poughkeepsie,New York usa,4.0 ,N/A,56,N/A,
University of Texas Health Science Center Houston,Texas usa,4.0 ,N/A,18,N/A,
The College of New Jersey Ewing Township,New Jersey usa,4.0 ,N/A,36,N/A,
Florida Gulf Coast University Fort Myers,Florida usa,4.0 ,N/A,39,N/A,
University of Texas Health Science Center San Antonio,Texas usa,4.0 ,N/A,28,N/A,
Indiana University South Bend South Bend,Indiana usa,4.0 ,Estd. Year,20,Estd. Year,
Adelphi University Garden City,New York usa,4.0 ,N/A,37,N/A,
Seton Hall University South Orange,New Jersey usa,4.0 ,N/A,38,N/A,
Seattle University Seattle,Washington usa,4.0 , IELTS 7 ,26, IELTS 7 ,
Bryn Mawr College Bryn Mawr,Pennsylvania usa,4.0 ,N/A,43,N/A,
Macalester College Saint Paul,Minnesota usa,4.0 ,N/A,54,N/A,
Western Illinois University Macomb,Illinois usa,4.0 ,N/A,,N/A,
California State University Chico,California usa,4.0 ,N/A,12,N/A,
Claremont McKenna College Claremont,California usa,4.0 ,N/A,54,N/A,
State University of New York at New Paltz New Paltz,New York usa,4.0 , IELTS 6.5 ,28, IELTS 6.5 ,
Gettysburg College Gettysburg,Pennsylvania usa,4.0 ,N/A,54,N/A,
University of Washington Bothell,Washington usa,4.0 , IELTS 6 ,39, IELTS 6 ,
Northern Kentucky University Highland Heights,Kentucky usa,4.0 ,N/A,28,N/A,
University of Washington Tacoma,Washington usa,4.0 , GMAT 730 | IELTS 7 ,40, GMAT 730 , IELTS 7 
